Route_Short_Name,Route_Long_Name,Number_of_Bus-Only-Lanes,daily_trips,peak_trips,peak_headway_minutes,non_peak_headway_minutes,Traffic_Volume,Incidents,estimated_riders,priority_metric,incident_to_volume_ratio,volume_to_incident_ratio,normalized_incident_ratio,normalized_volume_ratio,flow_impedance,Cluster,Has_Bus_Lane
114,Panorama/Country Hills,0,130,30,14.76923077,18.04255319,46000,296,4695.333333,26.881733676181142,0.006434782608695638,154.88215488215488,1.1171497584541039e-15,0.08481641814975148,2.745124375709466,1,False
44,Deer Ridge,0,129,36,17.1,19.63324176,0,202,4765.666667,26.81584974357,2020000000000.0,0.0,0.3506944444444444,0.0,11.730655653157648,1,False
99,Acadia/Oakridge,0,288,64,14.0,15.47542088,53000,624,9559.833333,29.704814221550848,0.011773584905660354,84.8,2.0440251572327003e-15,0.04643809523809524,4.85754938454359,1,False
11,Southwest Loop,0,126,34,11.14285714,11.82539683,171000,491,4780.333333,29.634107522326826,0.0028713450292397647,347.5609756097561,4.984974009096814e-16,0.19033101045296166,6.555183659177762,1,False
12,Southwest Loop,0,151,35,12.61111111,15.05454545,165000,507,5278.833333,29.187255035320902,0.0030727272727272712,324.8031496062992,5.334595959595957e-16,0.17786839145106859,6.524187417683882,1,False
301,BRT North/City Centre,2,744,216,4.510204082,7.583914053,492000,1585,22190.5,35.363774335136014,0.0032215447154471536,310.2143757881463,5.592959575429086e-16,0.169879301026842,19.892460418988637,2,True
60,Taradale,0,144,26,16.63636364,16.87272727,0,229,4504.5,25.262804315421487,2290000000000.0,0.0,0.3975694444444444,0.0,13.298614577094561,1,False
148,Great Plains Industrial,0,316,88,10.625,17.9747807,648980,2112,9954.0,42.972681196431964,0.0032543375758883166,307.1367723615712,5.649891624806105e-16,0.16819394676943183,26.366911142967314,0,False
128,East Skyview Ranch / Redstone,0,296,74,6.371428571,9.009259259,67000,540,9274.333333,29.869314878298447,0.008059701492537302,123.84473197781885,1.3992537313432815e-15,0.06781973417832937,4.650377042459322,1,False
21,Castleridge,0,194,36,11.25,12.72,0,353,5785.166667,26.253061754559393,3530000000000.0,0.0,0.6128472222222222,0.0,20.499611116656684,1,False
55,Falconridge,0,194,44,12.70588235,12.97183099,0,352,6025.833333,26.986844273035505,3520000000000.0,0.0,0.6111111111111112,0.0,20.441538563918282,1,False
58,Erin Woods/44 St SE,0,396,94,9.909090909,12.57182585,22000,525,12060.5,30.034595284287295,0.023863636363636257,41.82509505703422,4.142992424242406e-15,0.022904218721709214,3.609360611570723,1,False
87,Applewood/17 Av SE,0,310,64,13.5,15.59322034,49000,893,9335.0,30.411425414316838,0.018224489795918328,54.80984340044743,3.1639739229024876e-15,0.03001491424310216,6.384100236524345,1,False
135,Erin Woods/36 St SE,0,86,40,23.25,23.0625,49000,689,3879.833333,31.967927176070987,0.014061224489795889,71.01449275362319,2.441184807256231e-15,0.03888888888888889,5.162299477889866,1,False
89,Lions Park - North Pointe,0,40,24,37.8,34.0,184000,1258,2692.5,37.44002126258679,0.0068369565217391275,146.14773629864973,1.1869716183574874e-15,0.08003328416354628,11.42369973881301,1,False
100,Airport,0,324,64,16.05,17.87832423,205040,857,9432.166667,31.80556791843766,0.004179672259071399,238.97435897435898,7.256375449776734e-16,0.13086691086691085,9.466751380971964,1,False
102,Millrise/Silverado,0,338,78,11.23202614,14.33933002,43300,260,10141.5,28.47413991776422,0.006004618937644327,165.90038314176246,1.0424685655632512e-15,0.09085020981572706,2.4724417887381547,1,False
116,Coventry Hills Express,2,16,8,23.33333333,20.33333333,483000,1807,2022.5,32.97500535871375,0.003741200828157349,267.146017699115,6.495140326662064e-16,0.1462942477876106,21.031831498951853,2,True
32,Huntington/Sunridge,0,346,94,10.55952381,14.15283973,421720,1116,11771.5,37.074045294221804,0.002646305605615099,377.54700089525517,4.594280565303991e-16,0.20675192906168735,15.597987636543046,0,False
34,Pineridge,2,154,36,12.8125,15.36363636,0,420,5111.833333,19.073592360492587,4200000000000.0,0.0,0.7291666666666666,0.0,24.390472150129764,2,True
